timestamp,asset_id,macd_8_24,macd_16_28,macd_32_96
2024-01-02T00:00:00,USDCNH,,,
2024-01-03T00:00:00,USDCNH,,,
2024-01-04T00:00:00,USDCNH,,,
2024-01-05T00:00:00,USDCNH,,,
2024-01-08T00:00:00,USDCNH,,,
2024-01-09T00:00:00,USDCNH,,,
2024-01-10T00:00:00,USDCNH,,,
2024-01-11T00:00:00,USDCNH,,,
2024-01-12T00:00:00,USDCNH,,,
2024-01-15T00:00:00,USDCNH,,,
2024-01-16T00:00:00,USDCNH,,,
2024-01-17T00:00:00,USDCNH,,,
2024-01-18T00:00:00,USDCNH,,,
2024-01-19T00:00:00,USDCNH,,,
2024-01-22T00:00:00,USDCNH,,,
2024-01-23T00:00:00,USDCNH,,,
2024-01-24T00:00:00,USDCNH,,,
2024-01-25T00:00:00,USDCNH,,,
2024-01-26T00:00:00,USDCNH,,,
2024-01-29T00:00:00,USDCNH,,,
2024-01-30T00:00:00,USDCNH,,,
2024-01-31T00:00:00,USDCNH,,,
2024-02-01T00:00:00,USDCNH,,,
2024-02-02T00:00:00,USDCNH,,,
2024-02-05T00:00:00,USDCNH,,,
2024-02-06T00:00:00,USDCNH,,,
2024-02-07T00:00:00,USDCNH,,,
2024-02-08T00:00:00,USDCNH,,,
2024-02-09T00:00:00,USDCNH,,,
2024-02-12T00:00:00,USDCNH,,,
2024-02-13T00:00:00,USDCNH,,,
2024-02-14T00:00:00,USDCNH,,,
2024-02-15T00:00:00,USDCNH,,,
2024-02-16T00:00:00,USDCNH,,,
2024-02-19T00:00:00,USDCNH,,,
2024-02-20T00:00:00,USDCNH,,,
2024-02-21T00:00:00,USDCNH,,,
2024-02-22T00:00:00,USDCNH,,,
2024-02-23T00:00:00,USDCNH,,,
2024-02-26T00:00:00,USDCNH,,,
2024-02-27T00:00:00,USDCNH,,,
2024-02-28T00:00:00,USDCNH,,,
2024-02-29T00:00:00,USDCNH,,,
2024-03-01T00:00:00,USDCNH,,,
2024-03-04T00:00:00,USDCNH,,,
2024-03-05T00:00:00,USDCNH,,,
2024-03-06T00:00:00,USDCNH,,,
2024-03-07T00:00:00,USDCNH,,,
2024-03-08T00:00:00,USDCNH,,,
2024-03-11T00:00:00,USDCNH,,,
2024-03-12T00:00:00,USDCNH,,,
2024-03-13T00:00:00,USDCNH,,,
2024-03-14T00:00:00,USDCNH,,,
2024-03-15T00:00:00,USDCNH,,,
2024-03-18T00:00:00,USDCNH,,,
2024-03-19T00:00:00,USDCNH,,,
2024-03-20T00:00:00,USDCNH,,,
2024-03-21T00:00:00,USDCNH,,,
2024-03-22T00:00:00,USDCNH,,,
2024-03-25T00:00:00,USDCNH,,,
2024-03-26T00:00:00,USDCNH,,,
2024-03-27T00:00:00,USDCNH,,,
2024-03-28T00:00:00,USDCNH,,,
2024-03-29T00:00:00,USDCNH,,,
2024-04-01T00:00:00,USDCNH,,,
2024-04-02T00:00:00,USDCNH,,,
2024-04-03T00:00:00,USDCNH,,,
2024-04-04T00:00:00,USDCNH,,,
2024-04-05T00:00:00,USDCNH,,,
2024-04-08T00:00:00,USDCNH,,,
2024-04-09T00:00:00,USDCNH,,,
2024-04-10T00:00:00,USDCNH,,,
2024-04-11T00:00:00,USDCNH,,,
2024-04-12T00:00:00,USDCNH,,,
2024-04-15T00:00:00,USDCNH,,,
2024-04-16T00:00:00,USDCNH,,,
2024-04-17T00:00:00,USDCNH,,,
2024-04-18T00:00:00,USDCNH,,,
2024-04-19T00:00:00,USDCNH,,,
2024-04-22T00:00:00,USDCNH,,,
2024-04-23T00:00:00,USDCNH,,,
2024-04-24T00:00:00,USDCNH,,,
2024-04-25T00:00:00,USDCNH,,,
2024-04-26T00:00:00,USDCNH,,,
2024-04-29T00:00:00,USDCNH,,,
2024-04-30T00:00:00,USDCNH,,,
2024-05-01T00:00:00,USDCNH,,,
2024-05-02T00:00:00,USDCNH,,,
2024-05-03T00:00:00,USDCNH,,,
2024-05-06T00:00:00,USDCNH,,,
2024-05-07T00:00:00,USDCNH,,,
2024-05-08T00:00:00,USDCNH,,,
2024-05-09T00:00:00,USDCNH,,,
2024-05-10T00:00:00,USDCNH,,,
2024-05-13T00:00:00,USDCNH,,,
2024-05-14T00:00:00,USDCNH,,,
2024-05-15T00:00:00,USDCNH,,,
2024-05-16T00:00:00,USDCNH,,,
2024-05-17T00:00:00,USDCNH,,,
2024-05-20T00:00:00,USDCNH,,,
