timestamp,asset_id,macd_8_24,macd_16_28,macd_32_96
2021-01-02T00:00:00,MANUSD,,,
2021-01-03T00:00:00,MANUSD,,,
2021-01-04T00:00:00,MANUSD,,,
2021-01-05T00:00:00,MANUSD,,,
2021-01-06T00:00:00,MANUSD,,,
2021-01-07T00:00:00,MANUSD,,,
2021-01-08T00:00:00,MANUSD,,,
2021-01-09T00:00:00,MANUSD,,,
2021-01-10T00:00:00,MANUSD,,,
2021-01-11T00:00:00,MANUSD,,,
2021-01-12T00:00:00,MANUSD,,,
2021-01-13T00:00:00,MANUSD,,,
2021-01-14T00:00:00,MANUSD,,,
2021-01-15T00:00:00,MANUSD,,,
2021-01-16T00:00:00,MANUSD,,,
2021-01-17T00:00:00,MANUSD,,,
2021-01-18T00:00:00,MANUSD,,,
2021-01-19T00:00:00,MANUSD,,,
2021-01-20T00:00:00,MANUSD,,,
2021-01-21T00:00:00,MANUSD,,,
2021-01-22T00:00:00,MANUSD,,,
2021-01-23T00:00:00,MANUSD,,,
2021-01-24T00:00:00,MANUSD,,,
2021-01-25T00:00:00,MANUSD,,,
2021-01-26T00:00:00,MANUSD,,,
2021-01-27T00:00:00,MANUSD,,,
2021-01-28T00:00:00,MANUSD,,,
2021-01-29T00:00:00,MANUSD,,,
2021-01-30T00:00:00,MANUSD,,,
2021-01-31T00:00:00,MANUSD,,,
2021-02-01T00:00:00,MANUSD,,,
2021-02-02T00:00:00,MANUSD,,,
2021-02-03T00:00:00,MANUSD,,,
2021-02-04T00:00:00,MANUSD,,,
2021-02-05T00:00:00,MANUSD,,,
2021-02-06T00:00:00,MANUSD,,,
2021-02-07T00:00:00,MANUSD,,,
2021-02-08T00:00:00,MANUSD,,,
2021-02-09T00:00:00,MANUSD,,,
2021-02-10T00:00:00,MANUSD,,,
2021-02-11T00:00:00,MANUSD,,,
2021-02-12T00:00:00,MANUSD,,,
2021-02-13T00:00:00,MANUSD,,,
2021-02-14T00:00:00,MANUSD,,,
2021-02-15T00:00:00,MANUSD,,,
2021-02-16T00:00:00,MANUSD,,,
2021-02-17T00:00:00,MANUSD,,,
2021-02-18T00:00:00,MANUSD,,,
2021-02-19T00:00:00,MANUSD,,,
2021-02-20T00:00:00,MANUSD,,,
2021-02-21T00:00:00,MANUSD,,,
2021-02-22T00:00:00,MANUSD,,,
2021-02-23T00:00:00,MANUSD,,,
2021-02-24T00:00:00,MANUSD,,,
2021-02-25T00:00:00,MANUSD,,,
2021-02-26T00:00:00,MANUSD,,,
2021-02-27T00:00:00,MANUSD,,,
2021-02-28T00:00:00,MANUSD,,,
2021-03-01T00:00:00,MANUSD,,,
2021-03-02T00:00:00,MANUSD,,,
2021-03-03T00:00:00,MANUSD,,,
2021-03-04T00:00:00,MANUSD,,,
2021-03-05T00:00:00,MANUSD,,,
2021-03-06T00:00:00,MANUSD,,,
2021-03-07T00:00:00,MANUSD,,,
2021-03-08T00:00:00,MANUSD,,,
2021-03-09T00:00:00,MANUSD,,,
2021-03-10T00:00:00,MANUSD,,,
2021-03-11T00:00:00,MANUSD,,,
2021-03-12T00:00:00,MANUSD,,,
2021-03-13T00:00:00,MANUSD,,,
2021-03-14T00:00:00,MANUSD,,,
2021-03-15T00:00:00,MANUSD,,,
2021-03-16T00:00:00,MANUSD,,,
2021-03-17T00:00:00,MANUSD,,,
2021-03-18T00:00:00,MANUSD,,,
2021-03-19T00:00:00,MANUSD,,,
2021-03-20T00:00:00,MANUSD,,,
2021-03-21T00:00:00,MANUSD,,,
2021-03-22T00:00:00,MANUSD,,,
2021-03-23T00:00:00,MANUSD,,,
2021-03-24T00:00:00,MANUSD,,,
2021-03-25T00:00:00,MANUSD,,,
2021-03-26T00:00:00,MANUSD,,,
2021-03-27T00:00:00,MANUSD,,,
2021-03-28T00:00:00,MANUSD,,,
2021-03-29T00:00:00,MANUSD,,,
2021-03-30T00:00:00,MANUSD,,,
2021-03-31T00:00:00,MANUSD,,,
2021-04-01T00:00:00,MANUSD,,,
2021-04-02T00:00:00,MANUSD,,,
2021-04-03T00:00:00,MANUSD,,,
2021-04-04T00:00:00,MANUSD,,,
2021-04-05T00:00:00,MANUSD,,,
2021-04-06T00:00:00,MANUSD,,,
2021-04-07T00:00:00,MANUSD,,,
2021-04-08T00:00:00,MANUSD,,,
2021-04-09T00:00:00,MANUSD,,,
2021-04-10T00:00:00,MANUSD,,,
2021-04-11T00:00:00,MANUSD,,,
2021-04-12T00:00:00,MANUSD,,,
2021-04-13T00:00:00,MANUSD,,,
2021-04-14T00:00:00,MANUSD,,,
2021-04-15T00:00:00,MANUSD,,,
2021-04-16T00:00:00,MANUSD,,,
2021-04-17T00:00:00,MANUSD,,,
2021-04-18T00:00:00,MANUSD,,,
2021-04-19T00:00:00,MANUSD,,,
2021-04-20T00:00:00,MANUSD,,,
2021-04-21T00:00:00,MANUSD,,,
2021-04-22T00:00:00,MANUSD,,,
2021-04-23T00:00:00,MANUSD,,,
2021-04-24T00:00:00,MANUSD,,,
2021-04-25T00:00:00,MANUSD,,,
2021-04-26T00:00:00,MANUSD,,,
2021-04-27T00:00:00,MANUSD,,,
2021-04-28T00:00:00,MANUSD,,,
2021-04-29T00:00:00,MANUSD,,,
2021-04-30T00:00:00,MANUSD,,,
2021-05-01T00:00:00,MANUSD,,,
2021-05-02T00:00:00,MANUSD,,,
2021-05-03T00:00:00,MANUSD,,,
2021-05-04T00:00:00,MANUSD,,,
2021-05-05T00:00:00,MANUSD,,,
2021-05-06T00:00:00,MANUSD,,,
2021-05-07T00:00:00,MANUSD,,,
2021-05-08T00:00:00,MANUSD,,,
2021-05-09T00:00:00,MANUSD,,,
2021-05-10T00:00:00,MANUSD,,,
2021-05-11T00:00:00,MANUSD,,,
2021-05-12T00:00:00,MANUSD,,,
2021-05-13T00:00:00,MANUSD,,,
2021-05-14T00:00:00,MANUSD,,,
2021-05-15T00:00:00,MANUSD,,,
2021-05-16T00:00:00,MANUSD,,,
2021-05-17T00:00:00,MANUSD,,,
2021-05-18T00:00:00,MANUSD,,,
2021-05-19T00:00:00,MANUSD,,,
2021-05-20T00:00:00,MANUSD,,,
2021-05-21T00:00:00,MANUSD,,,
2021-05-22T00:00:00,MANUSD,,,
2021-05-23T00:00:00,MANUSD,,,
2021-05-24T00:00:00,MANUSD,,,
2021-05-25T00:00:00,MANUSD,,,
2021-05-26T00:00:00,MANUSD,,,
2021-05-27T00:00:00,MANUSD,,,
2021-05-28T00:00:00,MANUSD,,,
2021-05-29T00:00:00,MANUSD,,,
2021-05-30T00:00:00,MANUSD,,,
2021-05-31T00:00:00,MANUSD,,,
2021-06-01T00:00:00,MANUSD,,,
